% Model:              4 Spun pile_transient_multilayer_model verification.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 11 2025, 16:36
% Dimension:          1
% Nodes:              63
% Expressions:        5
% Description:        Point graph
% Time (h)                Temperature              Temperature              Temperature              Temperature              Temperature
0                         31.000038289288455       31.000370774897817       30.999842684304156       30.99995197074827        30.999979380729997
0.1                       31.973571086934953       32.90041690093608        31.644556993038123       31.586106616640166       31.73511937301032
0.2                       32.96920435961039        33.98923137796362        32.47499157936886        32.444754851902076       32.6405963633411
0.30000000000000004       33.79787448825789        34.77446185802671        33.17654803065318        33.17905361623582        33.415402634483485
0.4                       34.621432515603885       35.553774670881864       33.87433617799519        33.909013628690786       34.185721346932155
0.5                       35.28976794462221        36.153404878509775       34.45770446259826        34.50723283626138        34.81978092062445
0.6000000000000001        35.9474659386143         36.743396490400016       35.03260080214568        35.09631955508195        35.44406446183086
0.7000000000000002        36.39366938569651        37.141752577999          35.43905708292141        35.503833219349985       35.873979947574526
0.8                       36.83987283277867        37.54010866559793        35.84551336369702        35.911346883617966       36.30389543331819
0.9                       37.286076279860765       37.93846475319691        36.25196964447275        36.318860547886004       36.73381091906174
1                         37.71788189543952        38.324421983421246       36.645834819819584       36.71363534305732        37.150118379820526
1.1                       37.983877818532335       38.567590299358415       36.8946970953408         36.961705548233056       37.40971179391681
1.2000000000000002        38.24987374162521        38.81075861529547        37.143559370861965       37.209775753408735       37.66930520801304
1.3                       38.515869664718025       39.05392693123247        37.39242164638313        37.45784595858453        37.92889862210916
1.4000000000000004        38.7818655878109         39.297095247169636       37.641283921904346       37.70591616376021        38.18849203620539
1.5                       39.04786151090366        39.54026356310669        37.89014619742545        37.95398636893589        38.448085450301676
1.6                       39.31385743399653        39.78343187904386        38.13900847294667        38.202056574111566       38.70767886439785
1.7000000000000002        39.49532352652767        39.955686630915125       38.31201279842355        38.37519508662962        38.88785571164999
1.8                       39.66525145302478        40.11826181202645        38.47466265356968        38.53810556124239        39.05719234393882
1.9000000000000004        39.835179379521946       40.280836993137655       38.637312508715866       38.70101603585533        39.22652897622777
2                         40.005107306019056       40.44341217424903        38.79996236386194        38.86392651046816        39.3958656085166
2.1                       40.175035232516166       40.6059873553603         38.96261221900812        39.02683698508099        39.565202240805434
2.2                       40.34496315901333        40.76856253647156        39.12526207415431        39.189747459693876       39.73453887309438
2.3000000000000007        40.48142789818115        40.9028696953975         39.256907182317775       39.322912973596374       39.87226235603532
2.4000000000000004        40.602137716020195       41.02386788703154        39.373954836128746       39.44207415756722        39.995101940558754
2.5                       40.722847533859294       41.144866078665586       39.49100248993972        39.56123534153818        40.1179415250823
2.6                       40.84355735169828        41.26586427029952        39.60805014375069        39.68039652550914        40.24078110960568
2.7                       40.96426716953738        41.386862461933504       39.72509779756149        39.7995577094801         40.36362069412928
2.8000000000000007        41.084976987376365       41.50786065356755        39.84214545137252        39.918718893451          40.486460278652714
2.9000000000000004        41.1938254639536         41.61847473343562        39.94769503579954        40.027166839590336       40.597894250199204
3                         41.2898187906851         41.717834663387634       40.04078317918044        40.12400393375145        40.696966983613834
3.1                       41.38581211741666        41.817194593339764       40.13387132256122        40.2208410279124         40.79603971702858
3.2                       41.48180544414822        41.916554523291836       40.226959465942116       40.3176781220734         40.89511245044321
3.3000000000000007        41.57779877087978        42.015914453243965       40.32004760932284        40.41451521623435        40.994185183857894
3.4000000000000004        41.67379209761134        42.11527438319598        40.41313575270368        40.51135231039541        41.09325791727258
3.5                       41.76666688402457        42.211682976046006       40.50303711091169        40.60523001137449        41.18921380715278
3.6                       41.85151842201691        42.30049849382635        40.58473964322843        40.69149391094277        41.27715081402579
3.7                       41.93636996000919        42.3893140116067         40.66644217554517        40.777757810511105       41.36508782089879
3.8000000000000007        42.021221498001466       42.47812952938705        40.748144707861854       40.86402171007944        41.45302482777174
3.9000000000000004        42.106073035993745       42.56694504716734        40.829847240178594       40.95028560964778        41.54096183464475
4                         42.19092457398608        42.655760564947684       40.91154977249528        41.036549509216115       41.62889884151775
4.1000000000000005        42.21973008896839        42.67853634804095        40.946725065748126       41.07591473523513        41.66617548846938
4.2                       41.60309300114602        41.940778984340966       40.44607889175137        40.57518094444458        41.12003242407343
4.3                       40.98645591332354        41.203021620640925       39.94543271775461        40.07444715365398        40.573889359677366
4.4                       40.36981882550111        40.465264256941          39.44478654375786        39.573713362863316       40.02774629528142
4.5                       39.75318173767869        39.72750689324096        38.944140369761044       39.07297957207277        39.48160323088541
4.600000000000001         39.13654464985632        38.98974952954086        38.44349419576423        38.57224578128216        38.935460166489406
4.7                       38.51990756203389        38.251992165840875       37.942848021767475       38.0715119904915         38.38931710209346
4.800000000000001         38.11504471321655        37.85408650280402        37.594065101608294       37.71979537884238        38.01236486795625
4.9                       37.739088657600234       37.5025699703632         37.26601123562568        37.38841933742066        37.658506870232316
5                         37.36313260198392        37.15105343792237        36.937957369643016       37.05704329599894        37.30464887250838
5.100000000000001         36.98717654636761        36.79953690548166        36.609903503660405       36.72566725457716        36.95079087478433
5.2                       36.61122049075135        36.44802037304083        36.281849637677794       36.3942912131555         36.59693287706045
5.300000000000001         36.28460772801316        36.14482341906           35.99406568496721        36.1044142599319         36.28779320909422
5.4                       36.07318644179588        35.95442808943392        35.800291485124944       35.911416557463326       36.083048082551784
5.5                       35.86176515557861        35.764032759808          35.606517285282735       35.71841885499475        35.87830295600935
5.600000000000001         35.65034386936128        35.573637430181975       35.41274308544047        35.52542115252618        35.673557829466915
