% Model:              12 Spun pile_transient_multilayer_model verificaiton 3-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 13 2025, 14:10
% Dimension:          1
% Nodes:              169
% Expressions:        5
% Description:        Point graph
% Time (h)                Temperature              Temperature              Temperature              Temperature              Temperature
21                        36.19106910250906        33.610290839660934       33.65142426889281        33.78999864540981        33.636900316392996
22                        36.24961009442495        33.66839913447291        33.71023842333648        33.8492207120002         33.6961440370153
23                        36.3081510863409         33.72650742928499        33.7690525777802         33.9084427785906         33.75538775763761
24                        36.366692078256904       33.78461572409708        33.82786673222381        33.967664845180934       33.81463147825997
25                        36.425233070172794       33.84272401890905        33.88668088666742        34.02688691177127        33.873875198882274
26                        36.48377406208874        33.90083231372114        33.9454950411112         34.086108978361665       33.93311891950458
27                        36.542315054004575       33.95894060853317        34.00430919555487        34.145331044952          33.99236264012694
28                        36.60085604592058        34.0170489033452         34.06312334999848        34.204553111542396       34.05160636074925
29                        36.65939703783647        34.07515719815723        34.1219375044422         34.26377517813279        34.11085008137161
30                        36.71793802975242        34.133265492969315       34.18075165888581        34.322997244723126       34.170093801993914
31                        36.75860178337052        34.17389384220826        34.22205064426191        34.36371541209195        34.211004760587855
32                        36.79763256170315        34.21292550639777        34.26174972713994        34.402743362570845       34.25024113461728
33                        36.83666334003573        34.25195717058739        34.30144881001797        34.44177131304974        34.28947750864677
34                        36.8756941183683         34.290988834776954       34.34114789289606        34.48079926352864        34.3287138826762
35                        36.914724896700875       34.33002049896646        34.38084697577409        34.519827214007535       34.367950256705626
36                        36.95375567503345        34.36905216315603        34.42054605865218        34.55885516448643        34.407186630735055
37                        36.99278645336602        34.408083827345536       34.460245141530265       34.597883114965384       34.44642300476448
38                        37.03181723169871        34.4471154915351         34.499944224408296       34.636911065444224       34.48565937879391
39                        37.07084801003123        34.486147155724666       34.539643307286326       34.67593901592318        34.52489575282334
40                        37.1098787883638         34.52517881991423        34.57934239016441        34.71496696640207        34.564132126852826
41                        37.14890956669649        34.564210484103796       34.619041473042444       34.75399491688097        34.60336850088231
42                        37.187940345029006       34.60324214829336        34.65874055592053        34.793022867359866       34.64260487491168
43                        37.226971123361636       34.64227381248293        34.69843963879856        34.83205081783876        34.68184124894111
44                        37.26600190169421        34.681305476672435       34.738138721676705       34.87107876831766        34.7210776229706
45                        37.305032680026784       34.72033714086206        34.77783780455468        34.910106718796555       34.760313997000026
46                        37.34406345835947        34.759368805051565       34.81753688743271        34.94913466927545        34.799550371029454
47                        37.382335184109365       34.79764678789752        34.85640273244695        34.987409350363464       34.8380072253276
48                        37.41483937014897        34.83019804353398        34.88893735275076        35.0199604343984         34.870541023557735
49                        37.44734355618857        34.8627492991705         34.92147197305451        35.05251151843339        34.903074821787754
50                        37.47984774222817        34.89530055480702        34.95400659335826        35.08506260246838        34.93560862001789
51                        37.51235192826783        34.927851810443485       34.986541213662065       35.11761368650343        34.968142418247965
52                        37.54485611430738        34.96040306608006        35.01907583396587        35.150164770538424       35.00067621647804
53                        37.57736030034704        34.992954321716525       35.051610454269564       35.182715854573416       35.033210014708175
54                        37.60986448638664        35.02550557735299        35.08414507457337        35.215266938608465       35.06574381293831
55                        37.642368672426244       35.05805683298951        35.11667969487712        35.2478180226434         35.098277611168385
56                        37.67487285846585        35.09060808862603        35.14921431518087        35.28036910667845        35.13081140939846
57                        37.707377044505506       35.12315934426249        35.18174893548468        35.31292019071344        35.16334520762854
58                        37.73988123054505        35.155710599899066       35.21428355578837        35.345471274748434       35.19587900585873
59                        37.772385416584655       35.18826185553553        35.24681817609212        35.37802235878348        35.22841280408875
60                        37.804889602624314       35.220813111172106       35.27935279639581        35.41057344281842        35.26094660231888
61                        37.83739378866392        35.25336436680857        35.31188741669962        35.44312452685347        35.29348040054896
62                        37.86989797470352        35.28591562244503        35.344422037003426       35.4756756108884         35.326014198779035
63                        37.90240216074312        35.31846687808155        35.37695665730712        35.50822669492345        35.35854799700917
64                        37.93409224135678        35.35016515021334        35.40866279414121        35.53998259342677        35.39029881515444
65                        37.96402260026355        35.380019664102974       35.43857813054689        35.57001966633737        35.42035719027223
66                        37.993952959170144       35.40987417799249        35.46849346695251        35.600056739247975       35.45041556539013
67                        38.023883318076855       35.439728691882124       35.49840880335813        35.630093812158634       35.480473940508034
68                        38.053813676983566       35.469583205771755       35.52832413976387        35.66013088506918        35.51053231562594
69                        38.08374403589022        35.49943771966133        35.55823947616943        35.69016795797984        35.54059069074384
70                        38.11367439479693        35.529292233550905       35.58815481257511        35.7202050308905         35.570649065861744
71                        38.14360475370364        35.559146747440536       35.61807014898079        35.75024210380104        35.60070744097959
72                        38.17353511261024        35.58900126133017        35.647985485386414       35.780279176711645       35.63076581609755
73                        38.203465471517006       35.618855775219686       35.677900821792036       35.81031624962225        35.6608241912154
74                        38.23339583042366        35.64871028910932        35.707816158197716       35.84035332253285        35.6908825663333
75                        38.26332618933037        35.67856480299895        35.73773149460334        35.87039039544345        35.720940941451204
76                        38.29325654823708        35.70841931688847        35.76764683100896        35.90042746835405        35.75099931656905
77                        38.323186907143736       35.7382738307781         35.79756216741464        35.93046454126471        35.781057691686954
78                        38.35311726605039        35.76812834466773        35.82747750382026        35.96050161417526        35.81111606680486
79                        38.383047624957044       35.79798285855736        35.85739284022594        35.99053868708586        35.84117444192276
80                        38.412977983863755       35.827837372446936       35.887308176631564       36.02057575999652        35.87123281704061
81                        38.44138573855332        35.85622908113771        35.91581926896549        36.04911301482298        35.899763937994976
82                        38.46836703733163        35.883250356790484       35.94301479141325        36.076245160989004       35.92686424672297
83                        38.49534833610994        35.910271632443255       35.97021031386089        36.10337730715503        35.953964555450966
84                        38.52232963488825        35.93729290809608        35.997405836308474       36.130509453321054       35.981064864179075
85                        38.549310933666675       35.96431418374891        36.024601358756115       36.15764159948708        36.00816517290707
86                        38.57629223244493        35.99133545940168        36.05179688120387        36.184773745653104       36.035265481635065
87                        38.603273531223294       36.018356735054454       36.07899240365151        36.21190589181913        36.06236579036312
88                        38.63025483000166        36.04537801070728        36.10618792609915        36.2390380379851         36.08946609909117
89                        38.65723612877997        36.07239928636011        36.13338344854691        36.26617018415118        36.116566407819164
90                        38.68421742755834        36.09942056201288        36.16057897099449        36.2933023303172         36.143666716547216
91                        38.71119872633659        36.12644183766565        36.187774493442134       36.32043447648323        36.17076702527527
92                        38.73818002511496        36.15346311331848        36.214970015889776       36.34756662264925        36.19786733400326
93                        38.765161323893324       36.18048438897131        36.24216553833753        36.37469876881522        36.22496764273137
94                        38.79214262267158        36.20750566462408        36.26936106078517        36.4018309149813         36.25206795145937
95                        38.81912392144994        36.23452694027685        36.296556583232814       36.42896306114733        36.27916826018736
96                        38.84610522022831        36.26154821592968        36.323752105680455       36.45609520731335        36.30626856891536
97                        38.87308651900662        36.28856949158245        36.350947628128154       36.48322735347932        36.333368877643466
98                        38.89957574292066        36.31521842091547        36.37768325972701        36.50994403803145        36.35992819991958
99                        38.92580276452384        36.34166894534576        36.40417383828185        36.5364393436771         36.386199257323426
100                       38.951951348780256       36.36806011730863        36.4305911096622         36.562868424223666       36.4123840808125
101                       38.97802149569003        36.39439193680403        36.45693507386801        36.589231279671196       36.43848267038703
102                       39.00401320525327        36.42066440383206        36.48320573089944        36.61552791001975        36.46449502604685
103                       39.02992647746993        36.446877518392625       36.5094030807565         36.64175831526916        36.49042114779206
104                       39.05576131233994        36.47303128048577        36.53552712343907        36.66792249541959        36.51626103562262
105                       39.08151770986325        36.499125690111555       36.56157785894709        36.69402045047093        36.54201468953852
106                       39.10719567003997        36.525160747269865       36.58755528728079        36.72005218042324        36.5676821095397
107                       39.132795192870105       36.5511364519607         36.61345940843995        36.74601768527651        36.59326329562634
108                       39.15831627835371        36.57705280418418        36.63929022242468        36.771916965030755       36.61875824779827
109                       39.1837589264905         36.60290980394018        36.66504772923503        36.797750019685964       36.644166966055536
110                       39.20912313728081        36.62870745122882        36.69073192887083        36.82351684924208        36.6694894503982
111                       39.23440891072437        36.654445746050044       36.71634282133226        36.84921745369917        36.694725700826154
112                       39.25961624682145        36.680124688403794       36.7418804066192         36.87485183305722        36.719875717339505
113                       39.28474514557183        36.70574427829007        36.767344684731654       36.900419987316184       36.7449394999382
114                       39.30979560697574        36.73130451570904        36.79273565566973        36.92592191647617        36.76991704862223
115                       39.33554173888331        36.757398158544106       36.81862661685739        36.95197746991704        36.79564532523682
116                       39.36137152398129        36.78355656655697        36.84456431368801        36.978096588595804       36.82146261947929
117                       39.387218243536836       36.80972865118861        36.87049933485838        37.00422584899411        36.847296795363036
118                       39.413081897550285       36.835914412438854       36.89643168036878        37.030365251112016       36.87314785288794
119                       39.438962486021296       36.86211385030788        36.922361350219035       37.056514794949294       36.899015792054115
120                       39.46486000895004        36.88832696479551        36.94828834440921        37.082674480506284       36.92490061286156
121                       39.490774466336575       36.91455375590192        36.974212662939294       37.10884430778265        36.95080231531017
122                       39.51670585818067        36.940794223626995       37.00013430580918        37.13502427677855        36.97672089940011
123                       39.54265418448256        36.96704836797073        37.0260532730191         37.161214387494          37.00265636513126
124                       39.56861944524212        36.99331618893325        37.05196956456882        37.18741463992899        37.02860871250368
125                       39.59460164045936        37.01959768651432        37.07788318045846        37.213625034083464       37.05457794151732
126                       39.62060077013433        37.04589286071422        37.10379412068801        37.239845569957424       37.08056405217218
127                       39.646616834267036       37.07220171153273        37.12970238525742        37.266076247550984       37.10656704446836
128                       39.67264983285736        37.09852423896996        37.1556079741668         37.29231706686403        37.132586918405764
129                       39.69869976590542        37.12486044302585        37.18151088741604        37.318568027896674       37.15862367398432
130                       39.724766633411264       37.151210323700525       37.207411125005194       37.344829130648804       37.18467731120421
131                       39.75084529363164        37.17755642498298        37.233319131460405       37.37109103313912        37.210748517548495
132                       39.77689890216351        37.2037736616046         37.25930974956157        37.397286793139926       37.236842219344794
133                       39.80296421818838        37.229986829509926       37.285308309641266       37.42348319804057        37.26295350166015
134                       39.82904124170642        37.25619592869896        37.311314811699674       37.44968024784106        37.289082364494675
135                       39.85512997271741        37.282400959171696       37.33732925573662        37.47587794254133        37.31522880784837
136                       39.88123041122145        37.308601920928254       37.363351641752274       37.50207628214133        37.34139283172112
137                       39.90734255721861        37.33479881396852        37.389381969746466       37.52827526664112        37.3675744361131
138                       39.933466410708775       37.36099163829249        37.41542023971937        37.55447489604069        37.393773621024195
139                       39.959601971691995       37.38718039390022        37.441466451670806       37.580675170340044       37.4199903864544
140                       39.98574924016822        37.41336508079178        37.46752060560101        37.606876089539185       37.446224732403834
141                       40.01190821613761        37.43954569896698        37.493582701509695       37.63307765363811        37.47247665887238
142                       40.038078899599896       37.46572224842595        37.519652739397145       37.65927986263682        37.49874616586004
143                       40.06426129055541        37.49189472916862        37.54573071926313        37.68548271653526        37.52503325336693
144                       40.090455389003864       37.51806314119506        37.57181664110783        37.71168621533354        37.551337921392815
145                       40.11666119494538        37.54422748450526        37.597910504931065       37.73789035903155        37.577660169937985
146                       40.1428787083799         37.57038775909922        37.62401231073301        37.76409514762935        37.60399999900221
147                       40.16910792930747        37.59654396497683        37.65012205851349        37.79030058112693        37.63035740858561
148                       40.195262089004416       37.62263180381933        37.67620071267049        37.81644308598197        37.65665032047974
149                       40.22121930574559        37.64856095748337        37.702193440929136       37.84243336212546        37.682763441602276
150                       40.24715617599668        37.67446228943436        37.728179690687796       37.8684007979179         37.708863822024625
151                       40.27307269975796        37.700335799672075       37.754159461946415       37.894345393359174       37.734951461746846
152                       40.2989688770291         37.72618148819686        37.780132754704994       37.9202671484494         37.761026360768994
153                       40.324844707810314       37.751999355008365       37.80609956896353        37.94616606318834        37.78708851909096
154                       40.3507001921015         37.777789400106656       37.83205990472209        37.972042137576295       37.81313793671285
155                       40.376535329902765       37.80355162349201        37.8580137619806         37.997895371613026       37.839174613634555
156                       40.402350121214          37.82928602516415        37.88396114073913        38.023725765298536       37.86519854985613
157                       40.42814456603526        37.85499260512313        37.90990204099762        38.04953331863311        37.89120974537764
158                       40.45391866436643        37.88067136336906        37.935836462756185       38.07531803161646        37.91720820019896
159                       40.47967241620762        37.90632229990183        37.961764406014765       38.10107990424865        37.94319391432015
160                       40.50540582155895        37.93194541472144        37.98768587077319        38.12681893652979        37.96916688774115
161                       40.53111888042014        37.95754070782789        38.01360085703169        38.152535128459704       37.99512712046214
162                       40.556811592791405       37.98310817922123        38.039509364790206       38.17822848003851        38.02107461248295
163                       40.5824839586727         38.00864782890142        38.06541139404857        38.203898991266215       38.04700936380368
164                       40.608135978063956       38.03415965686855        38.09130694480717        38.22954666214275        38.07293137442417
165                       40.63370704959607        38.05965158886636        38.117123805989195       38.25515561787597        38.09876219774674
166                       40.6591907220602         38.08512446861528        38.142854290495904       38.28072416854354        38.12449348288084
167                       40.68464049133718        38.110571299662354       38.16856214268125        38.30626632762426        38.15019447858987
168                       40.71005635742722        38.13599208200753        38.194247362545354       38.331782095118          38.175865184873714
